platform,build,config,scenario,case_id,target,result,status,recoveries,completion_seconds,guidance_entry_seconds,guidance_entry_linear_speed,guidance_entry_angular_speed,max_guidance_torque,final_linear_speed,final_angular_speed,final_error_radians,failure_id
linux-x86_64,debug,review-candidate-b,d6-faces,d6-1-high-tumble,1,1,systemic-pass-visual-pending,0,6.203,1.344,0.6813,0.6968,11.1992,0.0001,0.0002,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-1-side-spin,1,1,systemic-pass-visual-pending,0,3.484,1.359,0.6894,0.4452,7.9784,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-1-awkward-low-energy,1,1,systemic-pass-visual-pending,0,2.281,0.203,0.3419,0.8042,7.3966,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-2-high-tumble,2,2,systemic-pass-visual-pending,0,3.438,1.344,0.6813,0.6968,7.9929,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-2-side-spin,2,2,systemic-pass-visual-pending,0,3.688,1.359,0.6894,0.4452,7.9821,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-2-awkward-low-energy,2,2,systemic-pass-visual-pending,0,2.969,0.203,0.3419,0.8042,8.1005,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-3-high-tumble,3,3,systemic-pass-visual-pending,0,3.422,1.344,0.6813,0.6968,7.9815,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-3-side-spin,3,3,systemic-pass-visual-pending,0,2.094,1.359,0.6894,0.4452,0.0868,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-3-awkward-low-energy,3,3,systemic-pass-visual-pending,0,1.969,0.203,0.3419,0.8042,4.3323,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-4-high-tumble,4,4,systemic-pass-visual-pending,0,3.438,1.344,0.6813,0.6968,7.9780,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-4-side-spin,4,4,systemic-pass-visual-pending,0,5.234,1.359,0.6894,0.4452,11.5976,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-4-awkward-low-energy,4,4,systemic-pass-visual-pending,0,2.719,0.203,0.3419,0.8042,7.9826,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-5-high-tumble,5,5,systemic-pass-visual-pending,0,3.453,1.344,0.6813,0.6968,7.9778,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-5-side-spin,5,5,systemic-pass-visual-pending,0,3.484,1.359,0.6894,0.4452,7.9782,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-5-awkward-low-energy,5,5,systemic-pass-visual-pending,0,1.500,0.203,0.3419,0.8042,1.2928,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-6-high-tumble,6,6,systemic-pass-visual-pending,0,2.078,1.344,0.6813,0.6968,0.2496,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-6-side-spin,6,6,systemic-pass-visual-pending,0,3.453,1.359,0.6894,0.4452,7.9802,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,d6-faces,d6-6-awkward-low-energy,6,6,systemic-pass-visual-pending,0,2.625,0.203,0.3419,0.8042,8.1853,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,recovery,recovery-bad-orientation,6,6,systemic-pass-visual-pending,1,7.438,0.047,0.1255,0.1214,7.0663,0.0000,0.0000,0.0000,
linux-x86_64,debug,review-candidate-b,recovery,recovery-edge,3,3,systemic-pass-visual-pending,0,1.234,0.047,0.7545,1.1404,0.0000,0.0000,0.0000,0.0000,
